gene,time,expression
YAL001C,40,-0.07
YAL014C,40,0.215
YAL016W,40,0.15
YAL020C,40,-0.35
YAL022C,40,-0.415
YAL036C,40,0.54
YAL038W,40,-0.625
YAL039C,40,0.050000004
YAL040C,40,0.335
YAL044C,40,-0.43
YAL046C,40,0.135
YAL048C,40,0.005
YAL049C,40,-0.19999999
YAL051W,40,0.155
YAL056W,40,-0.135
YAL063C,40,0.42000002
YAL064W-B,40,0.099999994
YAL065C,40,-0.07
YAR007C,40,1.26
YAR009C,40,0.235
YAR020C,40,0.23500001
YAR035W,40,-0.055000003
YAR043C,40,0.2
YAR052C,40,0.25
YAR060C,40,0.55
YAR070C,40,0.0
YAR075W,40,0.26
YBL003C,40,0.215
YBL005W,40,0.14999999
YBL007C,40,-0.28
YBL008W,40,0.095
YBL009W,40,0.62
YBL011W,40,0.08500001
YBL017C,40,-0.59
YBL027W,40,0.48000002
YBL029W,40,0.085
YBL031W,40,0.36499998
YBL033C,40,0.315
YBL047C,40,-0.55
YBL051C,40,1.115
YBL052C,40,-0.285
YBL053W,40,0.315
YBL060W,40,0.125
YBL061C,40,0.92
YBL063W,40,0.28
YBL066C,40,0.065
YBL075C,40,-0.755
YBL077W,40,0.040000003
YBL079W,40,-0.060000002
YBL084C,40,-0.185
YBL088C,40,-0.315
YBL097W,40,-0.15
YBL099W,40,-0.83000004
YBL101C,40,0.0
YBL101W-B,40,0.735
YBL103C,40,0.39999998
YBL105C,40,0.17
YBR008C,40,0.08
YBR014C,40,0.325
YBR016W,40,0.33499998
YBR030W,40,0.71500003
YBR032W,40,0.114999995
YBR033W,40,0.015000001
YBR038W,40,-2.31
YBR048W,40,-0.21000001
YBR054W,40,-2.3200002
YBR056W,40,-1.155
YBR058C,40,0.345
YBR060C,40,0.405
YBR068C,40,-0.29999998
YBR070C,40,0.53499997
YBR074W,40,-0.22999999
YBR076W,40,0.03
YBR078W,40,-0.51
YBR080C,40,0.41
YBR081C,40,0.22999999
YBR082C,40,0.16499999
YBR084C-A,40,0.41
YBR085W,40,-0.615
YBR087W,40,0.8
YBR089C-A,40,-0.17500001
YBR092C,40,-2.565
YBR094W,40,-0.114999995
YBR096W,40,-0.985
YBR097W,40,-0.315
YBR098W,40,0.21000001
YBR110W,40,0.65999997
YBR112C,40,0.049999997
YBR116C,40,-0.13499999
YBR118W,40,-0.44
YBR122C,40,-0.525
YBR128C,40,0.095
YBR130C,40,-0.005000003
YBR134W,40,-0.205
YBR136W,40,0.009999998
YBR138C,40,-0.88
YBR140C,40,-0.39499998
YBR142W,40,0.625
YBR146W,40,-0.38
YBR148W,40,0.18
YBR156C,40,-0.045
YBR158W,40,0.81500006
YBR160W,40,0.27499998
YBR161W,40,-0.09
YBR162C,40,-0.45999998
YBR162W-A,40,0.55
YBR163W,40,0.03
YBR164C,40,0.085
YBR165W,40,0.01
YBR166C,40,0.255
YBR167C,40,0.015
YBR168W,40,-0.185
YBR169C,40,-0.305
YBR170C,40,0.114999995
YBR171W,40,0.5
YBR172C,40,0.035
YBR173C,40,-0.08
